103216	
1032362	Clostridium [1485]
1032457	
1032473	Aeropyrum pernix K1 [272557]
1032474	Aeropyrum pernix [56636]
1032478	
1032499	
10325	Macaca mulatta (Rhesus macaque) [9544]; Homo sapiens (Human) [9606]; Macaca nemestrina (Pig-tailed macaque) [9545]; Macaca leonina (Northern pig-tailed macaque) (Macaca nemestrina leonina) [90387]; Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey) [9541]
10326	Equus caballus [9796]
1032891	
1032892	
1032893	
1032894	Mycobacterium [1763]
1032895	Mycobacterium [1763]
1033017	
1033018	
1033019	
1033020	
1033021	
1033022	
1033023	
1033024	
1033025	
1033026	
1033027	
1033028	
1033029	
1033030	
1033031	
1033032	
1033033	
1033034	
1033035	
1033036	
1033037	
1033038	
1033039	
1033040	
1033041	
1033042	
1033043	
1033044	
1033045	
1033046	
1033047	
1033048	
1033049	
1033050	
1033051	
1033052	
1033053	
1033054	
1033055	
1033056	
10331	
1033168	
1033169	
10331	Equus caballus [9796]
10333	Equus caballus (Horse) [9796]
10334	Felidae (cat family) [9681]
10335	Homo sapiens (Human) [9606]
10338	Homo sapiens (Human) [9606]
1033976	
1033977	Flavobacterium [237]
1034096	
1034099	
1034100	
1034101	
1034102	Mycobacterium [1763]
1034103	
1034104	Mycobacterium [1763]
1034105	Mycobacterium [1763]
1034106	Mycobacterium [1763]
1034107	
1034108	
1034109	
1034110	
1034111	
1034112	
1034113	
1034114	
1034115	Mycobacterium [1763]
1034116	Mycobacterium [1763]
1034117	Mycobacterium [1763]
1034118	Mycobacterium [1763]
1034119	Mycobacterium [1763]
1034124	Mycobacterium [1763]
1034125	
1034127	Mycobacterium [1763]
1034128	Mycobacterium [1763]
1034129	
1034130	Mycobacterium [1763]
1034131	Mycobacterium [1763]
1034132	Mycobacterium [1763]
1034133	
1034134	Mycobacterium [1763]
1034135	
1034136	
1034137	
1034138	Mycobacterium [1763]
1034139	Mycobacterium [1763]
1034140	
1034142	
1034143	Mycobacterium [1763]
1034144	Mycobacterium [1763]
1034145	
1034146	Mycobacterium [1763]
1034147	Mycobacterium [1763]
1034148	Mycobacterium [1763]
1034149	Mycobacterium [1763]
1034150	
1034151	Mycobacterium [1763]
1034152	
1034342	
1034377	
103442	Triatoma infestans [30076]
10345	Sus scrofa [9823]
1034649	
1034790	
1034791	
1034792	
1034793	
1034805	
10353	Saimiri (squirrel monkeys) [9520]; Callithrix [9481]
1035482	Mycobacterium [1763]
1035483	Mycobacterium [1763]
1035484	Mycobacterium [1763]
1035485	Mycobacterium [1763]
1035662	Bdellovibrio [958]
10359	Homo sapiens (Human) [9606]
103603	Gobiosoma bosc (Naked goby) (Gobius bosc) [203314]
10360	Homo sapiens (Human) [9606]
1036255	
10363	Homo sapiens (Human) [9606]
1036613	
1036614	
1036615	Mycobacterium [1763]
1036616	Mycobacterium [1763]
10366	Mus musculus (Mouse) [10090]
10367	Mus musculus (Mouse) [10090]
